name,genre,developer,downloads,updatedOn,contentRating,score,scoreClass
Mission: Berlin,Action,Warner Bros. International Enterprises,"5,000,000 - 10,000,000",13 August 2015,Rated for 16+,4.1,5 (4.1 - 5.0)
WWE Immortals,Action,Warner Bros. International Enterprises,"5,000,000 - 10,000,000",19 December 2016,Rated for 12+,4.3,5 (4.1 - 5.0)
MORTAL KOMBAT X,Action,Warner Bros. International Enterprises,"10,000,000 - 50,000,000",20 December 2016,Rated for 18+,4.4,5 (4.1 - 5.0)
Godzilla: Strike Zone,Action,Warner Bros. International Enterprises,"10,000,000 - 50,000,000",15 May 2014,Unrated,3.8,4 (3.1 - 4.0)
Edge of Tomorrow Game,Arcade,Warner Bros. International Enterprises,"10,000,000 - 50,000,000",3 June 2014,Unrated,3.8,4 (3.1 - 4.0)
Heads Up!,Word,Warner Bros. International Enterprises,"10,000,000 - 50,000,000",12 January 2017,Rated for 3+,4.1,5 (4.1 - 5.0)
Psych! Outwit Your Friends,Word,Warner Bros. International Enterprises,"500,000 - 1,000,000",25 April 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Fantastic Beasts: Cases,Adventure,Warner Bros. International Enterprises,"500,000 - 1,000,000",9 January 2017,Rated for 3+,4.4,5 (4.1 - 5.0)
GRAVITY: DON'T LET GO,Arcade,Warner Bros. International Enterprises,"1,000,000 - 5,000,000",10 December 2013,Unrated,3.5,4 (3.1 - 4.0)
Winx Bloomix Quest,Action,Apps Ministry Inc,"10,000,000 - 50,000,000",9 December 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Power Rangers Dino Rumble,Action,StoryToys,"5,000,000 - 10,000,000",25 November 2015,Rated for 3+,4.1,5 (4.1 - 5.0)
Rayman Jungle Run,Action,Ubisoft Entertainment,"1,000,000 - 5,000,000",11 January 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
TMNT: ROOFTOP RUN,Action,Nickelodeon,"100,000 - 500,000",17 April 2014,Rated for 7+,3.9,4 (3.1 - 4.0)
DuckTales: Remastered,Action,Disney,"50,000 - 100,000",19 April 2016,Rated for 3+,4.3,5 (4.1 - 5.0)
Soundtrack Attack,Action,Cartoon Network,"1,000,000 - 5,000,000",26 July 2016,Rated for 7+,4.2,5 (4.1 - 5.0)
Shaun the Sheep - Shear Speed,Action,Aardman Digital,"1,000,000 - 5,000,000",10 October 2016,Rated for 3+,3.9,4 (3.1 - 4.0)
Polaretti,Action,Dolfin SpA,"500,000 - 1,000,000",19 November 2016,Rated for 3+,4.1,5 (4.1 - 5.0)
Rayman Fiesta Run,Action,Ubisoft Entertainment,"100,000 - 500,000",18 March 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Astro Boy Siege: Alien Attack,Action,Animoca Brands,"500,000 - 1,000,000",3 December 2014,Rated for 7+,3.8,4 (3.1 - 4.0)
Mixels Rush,Action,Cartoon Network,"1,000,000 - 5,000,000",1 October 2015,Rated for 3+,4.0,4 (3.1 - 4.0)
8 Ball Pool,Sports,Miniclip.com,"100,000,000 - 500,000,000",16 December 2016,Rated for 3+,4.5,5 (4.1 - 5.0)
Rail Rush,Arcade,Miniclip.com,"50,000,000 - 100,000,000",13 January 2017,Rated for 3+,4.2,5 (4.1 - 5.0)
Archery King,Sports,Miniclip.com,"10,000,000 - 50,000,000",20 December 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Bowling King,Sports,Miniclip.com,"10,000,000 - 50,000,000",18 January 2017,Rated for 12+,4.6,5 (4.1 - 5.0)
Basketball Stars,Sports,Miniclip.com,"10,000,000 - 50,000,000",16 December 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Soccer Stars,Sports,Miniclip.com,"10,000,000 - 50,000,000",29 November 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Flip Diving,Sports,Miniclip.com,"10,000,000 - 50,000,000",12 December 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Bike Rivals,Racing,Miniclip.com,"5,000,000 - 10,000,000",15 July 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
iStunt 2,Sports,Miniclip.com,"10,000,000 - 50,000,000",16 July 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Beast Quest,Role Playing,Miniclip.com,"5,000,000 - 10,000,000",19 August 2015,Rated for 12+,4.3,5 (4.1 - 5.0)
Extreme Skater,Sports,Miniclip.com,"5,000,000 - 10,000,000",21 July 2015,Rated for 3+,4.2,5 (4.1 - 5.0)
Poker King,Card,Miniclip.com,"5,000 - 10,000",22 December 2016,Rated for 12+,4.4,5 (4.1 - 5.0)
Dude Perfect 2,Action,Miniclip.com,"10,000,000 - 50,000,000",20 July 2016,Rated for 3+,4.4,5 (4.1 - 5.0)
Gravity Guy FREE,Arcade,Miniclip.com,"10,000,000 - 50,000,000",16 July 2015,Rated for 3+,4.1,5 (4.1 - 5.0)
Bowmasters,Action,Miniclip.com,"1,000,000 - 5,000,000",16 January 2017,Rated for 12+,4.6,5 (4.1 - 5.0)
Plague Inc.,Simulation,Miniclip.com,"50,000,000 - 100,000,000",28 November 2016,Rated for 7+,4.5,5 (4.1 - 5.0)
San Andreas - Crime Streets,Action,Crime Zone Labs,"1,000,000 - 5,000,000",28 October 2016,Rated for 12+,3.7,4 (3.1 - 4.0)
Great The Auto 5,Action,Yeti GameDev,"1,000,000 - 5,000,000",22 November 2016,Rated for 3+,2.6,3 (2.1 - 3.0)
Six-Guns: Gang Showdown,Action,Gameloft,"10,000,000 - 50,000,000",27 March 2015,Rated for 16+,4.4,5 (4.1 - 5.0)
Mad City Gangsters,Action,BMG IT corp,"5,000,000 - 10,000,000",1 December 2016,Rated for 16+,3.6,4 (3.1 - 4.0)
Grand Sniper in San Andreas,Action,Moking,"1,000,000 - 5,000,000",16 December 2016,Rated for 16+,3.6,4 (3.1 - 4.0)
Miami Crime Vice Town,Action,Naxeex LLC,"5,000,000 - 10,000,000",7 December 2016,Rated for 16+,3.9,4 (3.1 - 4.0)
